away_team_code,last_result_vs_opponent,kickoff_time_local,tickets_scanned,match_id,weekday,date,ohl_interest
WES,0,18:15:00,5565.0,d256yo3eng04m0fu7b4sl7wno,5,2022-07-30,17.32
CLU,-3,18:30:00,7440.0,d4mn5ksbxuvnaww4pmommxhqs,6,2022-08-14,30.38
KVO,2,18:15:00,4489.0,d65hmi7sq03yzr5he1k7ypus4,5,2022-08-27,22.18
CHA,3,20:45:00,4508.0,d80mkemezkz16bqh6lbn8tlhw,5,2022-09-10,19.08
STG,-3,16:00:00,6290.0,dak40etbhbqsr1nxyt50qcg0k,5,2022-10-01,17.75
GNK,1,20:45:00,7238.0,dcl81t8chgq07o8rw8orj5no4,5,2022-10-15,22.19
GNT,-5,18:30:00,7166.0,dfui3aovgvfccasonp6w5ajh0,6,2022-10-30,19.08
SER,0,20:45:00,5285.0,di0x0as1g324k0hoea1o5vvh0,4,2022-11-11,17.09
KVK,2,21:00:00,3766.0,dkbsomyigazbberxvdmjq7wgk,6,2023-01-08,13.36
EUP,-2,18:30:00,3537.0,dmcif0n7veawzigj8cd5bm904,1,2023-01-17,14.91
STV,0,18:15:00,6399.0,dojq6igk3d5ol4c78rkm0ugb8,5,2023-01-28,15.36
CER,-1,20:00:00,4721.0,dqvzs325coup7j9iqyfcazmdw,4,2023-02-10,16.34
ANT,-2,16:00:00,9331.0,dt091ishr3km0wuuhiatev9xw,6,2023-02-26,19.45
ZWA,3,18:15:00,7785.0,du1wib350joxeh5hdv9v8yihg,5,2023-03-04,15.56
AND,0,16:00:00,10827.0,dw8a4f7k9qt9iyxuuno9rvztg,6,2023-03-19,31.5
KVM,0,16:00:00,8310.0,dyrd81lg1d8eb5ptsbq1tg6j8,5,2023-04-08,16.63
STA,2,18:30:00,10079.0,e0tuth9cc11wefswrzq1cjyms,6,2023-04-23,30.19
RWD,0,20:45:00,7786.0,3kewmr690bhoid47mku9wfgno,5,2023-08-05,17.79
ANT,0,20:45:00,8577.0,3nrkjdhpc5zse1sdzt1onor2s,4,2023-08-18,20.46
KVK,-1,20:45:00,9144.0,3rwouz4640n6ngfbwrwsqkp3o,4,2023-09-01,19.02
GNT,-2,18:30:00,9598.0,3vk3btgbt7w7qy9hjp3f2934k,6,2023-09-17,22.09
STA,1,18:15:00,9211.0,3yp7glzujzj8nc07qp0sd0kr8,5,2023-09-30,20.66
STV,0,19:15:00,7784.0,42wgdmxzlcn9w08umkea3hpg4,6,2023-10-22,22.09
WES,1,18:15:00,9240.0,4729fykixfyfwxlbno9zilq8k,5,2023-11-04,16.98
CLU,0,16:00:00,10546.0,4bjgrdur7wdidfbs58xmjynf8,6,2023-11-26,21.53
CER,-1,16:00:00,8038.0,4i4bz7rnjs44z8bt8bnftavbo,5,2023-12-16,17.01
EUP,-2,16:00:00,7863.0,4mbxzkhlc9edsor1s0fjsxses,1,2023-12-26,16.58
AND,-4,18:30:00,10786.0,4oobcluwuns3xnlhy5m9m7sic,6,2024-01-21,29.98
GNK,-2,18:45:00,7846.0,4s3or8i47or8p70amtotvjlec,2,2024-01-31,20.39
